"","Estimate","Std. Error","z value","Pr(>|z|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.64285","0.06556","-9.80558","0.00000","-0.77134","-0.51435","-0.75068","-0.53501"
"completed_app_usage_preblock","-0.30511","0.06500","-4.69403","0.00000","-0.43251","-0.17771","-0.41203","-0.19820"
"Nicotine_dep","-0.11578","0.02268","-5.10386","0.00000","-0.16024","-0.07132","-0.15309","-0.07847"
