"","Estimate","Std. Error","z value","Pr(>|z|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.94855","0.03201","-29.63407","0.00000","-1.01129","-0.88582","-1.00120","-0.89590"
"completed_app_usage_preblock","-0.30242","0.06441"," -4.69494","0.00000","-0.42867","-0.17617","-0.40838","-0.19647"
