"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)","-0.04855","0.03252","-0.11229","0.01520","-0.10204"," 0.00495","0.13555"
"(Intercept)"," 0.95379","0.12296"," 0.71278","1.19479"," 0.75153"," 1.15604","0.00000"
"days_between_v1_and_coinflip_local"," 0.02782","0.00861"," 0.01095","0.04469"," 0.01366"," 0.04198","0.00123"
"motivation_cig_lag1"," 0.65245","0.03652"," 0.58087","0.72404"," 0.59238"," 0.71253","0.00000"
"Y_lag1"," 0.02842","0.05678","-0.08286","0.13970","-0.06497"," 0.12181","0.61664"
"cigarette_counts_lag1","-0.03637","0.01945","-0.07449","0.00175","-0.06837","-0.00438","0.06147"
