"self_efficacy_cig_lag1","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
0,16,13,1.077,0.234,1.92
1,56,39,1.7,1.384,2.016
2,125,93,2.208,2.05,2.367
3,128,94,2.84,2.694,2.987
4,249,182,3.716,3.623,3.808
