"","Estimate","StdErr","Z_statistic","p_value","LCL","UCL","LCL90","UCL90"
"(Intercept)"," 0.92158","0.13360"," 6.89816","0.00000"," 0.65973","1.18343"," 0.70183","1.14133"
"days_between_v1_and_coinflip_local"," 0.01537","0.00862"," 1.78251","0.07467","-0.00153","0.03227"," 0.00119","0.02955"
"self_efficacy_cig_lag1"," 0.65835","0.04213","15.62629","0.00000"," 0.57578","0.74093"," 0.58906","0.72765"
"is_high_effort","-0.00813","0.04399"," 0.18473","0.85344","-0.09435","0.07809","-0.08048","0.06423"
"is_low_effort"," 0.03878","0.05031"," 0.77076","0.44085","-0.05983","0.13739","-0.04398","0.12154"
"High Effort Prompt vs Low Effort Prompt","-0.04691","0.05615","-0.83529","0.40355","-0.15697","0.06316","-0.13927","0.04546"
