"","Estimate","StdErr","Z_statistic","p_value","LCL","UCL","LCL90","UCL90"
"(Intercept)"," 0.93789","0.14609"," 6.42013","0.00000"," 0.65157","1.22421"," 0.69760","1.17818"
"days_between_v1_and_coinflip_local"," 0.01212","0.01213"," 0.99948","0.31756","-0.01165","0.03589","-0.00783","0.03207"
"self_efficacy_cig_lag1"," 0.65825","0.04209","15.63804","0.00000"," 0.57575","0.74075"," 0.58901","0.72749"
"is_high_effort","-0.08811","0.09692"," 0.90914","0.36328","-0.27807","0.10184","-0.24753","0.07130"
"is_low_effort"," 0.05579","0.12216"," 0.45669","0.64789","-0.18364","0.29522","-0.14514","0.25672"
"I(is_high_effort * days_between_v1_and_coinflip_local)"," 0.01652","0.02008"," 0.82290","0.41057","-0.02283","0.05588","-0.01650","0.04955"
"I(is_low_effort * days_between_v1_and_coinflip_local)","-0.00326","0.02035"," 0.16027","0.87267","-0.04315","0.03663","-0.03674","0.03021"
"High Effort Prompt vs Low Effort Prompt","-0.14390","0.11862","-1.21311","0.22509","-0.37640","0.08859","-0.33902","0.05121"
"High Effort Prompt vs Low Effort Prompt x Day"," 0.01978","0.02325"," 0.85113","0.39470","-0.02578","0.06535","-0.01845","0.05802"
