"self_efficacy_cig_lag1","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
0,24,15,2.2,1.472,2.928
1,53,34,1.618,1.394,1.841
2,134,103,2.34,2.192,2.487
3,116,91,2.78,2.617,2.943
4,261,189,3.714,3.613,3.815
