"decision_point","ppc_est"
7,0.38
8,0.5
9,0.5
10,0.66
11,0.68
12,0.94
13,0.22
14,0.88
15,0.9
16,0.36
17,0.8
18,0.56
19,0.66
20,0.6
21,0.44
22,0.2
23,0.44
24,0.8
25,0.76
26,0.66
27,0.86
28,0.7
29,0.54
30,0.86
31,0.62
32,0.46
33,0.74
34,0.68
35,0.36
36,0.6
37,0.4
38,0.56
39,0.66
40,0.74
41,0.72
42,0.6
43,0.66
44,0.24
45,0.5
46,0.62
47,0.88
48,0.22
49,0.26
50,0.34
51,0.58
52,0.6
53,0.34
54,0.52
