"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"is_high_effort","-0.159","0.117","-0.389","0.071","-0.352","0.034","0.176"
"is_low_effort","-0.075","0.117","-0.304","0.153","-0.267","0.116","0.519"
"I(is_high_effort * days_between_v1_and_coinflip_local)"," 0.015","0.022","-0.028","0.058","-0.021","0.051","0.493"
"I(is_low_effort * days_between_v1_and_coinflip_local)"," 0.006","0.020","-0.034","0.046","-0.028","0.039","0.783"
"High Effort Prompt vs Low Effort Prompt","-0.084","0.129","-0.336","0.169","-0.296","0.128","0.516"
"High Effort Prompt vs Low Effort Prompt x Day"," 0.010","0.024","-0.037","0.056","-0.029","0.048","0.687"
