"","pbcom_est","pbcom_stderr"
"X.Intercept.","0.30000","0.46000"
"self_efficacy_cig_lag1","0.78000","0.44000"
"any_response_2qs","0.82000","0.62000"
"I.self_efficacy_cig_lag1...any_response_2qs.","0.10000","0.50000"
"any_response_2qs.1","0.82000","0.62000"
"any_response_2qs...I.self_efficacy_cig_lag1...any_response_2qs.","0.82000","0.62000"
"any_response_2qs...2.I.self_efficacy_cig_lag1...any_response_2qs.","0.72000","0.64000"
"any_response_2qs...3.I.self_efficacy_cig_lag1...any_response_2qs.","0.42000","0.58000"
"any_response_2qs...4.I.self_efficacy_cig_lag1...any_response_2qs.","0.18000","0.44000"
