"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.71758","0.16149"," 1.40106"," 2.03410"," 1.45194"," 1.98321","0.00000"
"days_between_v1_and_coinflip_local"," 0.03068","0.00903"," 0.01299"," 0.04838"," 0.01583"," 0.04553","0.00068"
"self_efficacy_cig_lag1"," 0.36646","0.04768"," 0.27300"," 0.45992"," 0.28803"," 0.44489","0.00000"
"any_response_2qs","-0.47998","0.17358","-0.82019","-0.13976","-0.76549","-0.19446","0.00569"
"I(self_efficacy_cig_lag1 * any_response_2qs)"," 0.15710","0.05350"," 0.05224"," 0.26197"," 0.06910"," 0.24511","0.00332"
