"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"is_high_effort","-0.076","0.049","-0.171","0.019","-0.156","0.004","0.119"
"is_low_effort","-0.050","0.048","-0.143","0.044","-0.128","0.029","0.296"
"High Effort Prompt vs Low Effort Prompt","-0.026","0.057","-0.137","0.085","-0.119","0.067","0.647"
