"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.01025","0.00387","50.00000","0.01420","0.27823","0.38548","93.00000","65.72620","632.97824","59.54342","0.30131"
"days_between_v1_and_coinflip_local","0.00005","0.00003","50.00000","0.00008","0.36180","0.56690","93.00000","58.11622","374.33675","50.30613","0.38574"
"self_efficacy_cig_lag1","0.00078","0.00032","50.00000","0.00110","0.29268","0.41379","93.00000","64.41014","572.01019","57.89139","0.31591"
"is_high_effort","0.00181","0.00109","50.00000","0.00292","0.38145","0.61668","93.00000","56.32670","336.76016","48.25547","0.40559"
"is_low_effort","0.00172","0.00093","50.00000","0.00266","0.35420","0.54846","93.00000","58.80853","390.57900","51.11263","0.37806"
"High Effort Prompt vs Low Effort Prompt","0.00247","0.00127","50.00000","0.00376","0.34282","0.52165","93.00000","59.84450","416.93180","52.33287","0.36657"
