"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"(Intercept)","0.00986","0.00208","50.00000","0.01198","0.17674","0.21469","90.00000","72.49974","1568.59940","69.29688","0.19952"
"days_between_v1_and_coinflip_local","0.00009","0.00003","50.00000","0.00012","0.22356","0.28792","90.00000","68.37708"," 980.43707","63.91926","0.24676"
"self_efficacy_cig_lag1","0.00071","0.00018","50.00000","0.00090","0.20661","0.26041","90.00000","69.86987","1147.91766","65.86113","0.22965"
"is_high_effort","0.00838","0.00341","50.00000","0.01187","0.29341","0.41526","90.00000","62.22518"," 569.16119","56.09269","0.31733"
"is_low_effort","0.00742","0.00429","50.00000","0.01180","0.37098","0.58977","90.00000","55.39442"," 356.03863","47.93624","0.39568"
"I(is_high_effort * days_between_v1_and_coinflip_local)","0.00030","0.00011","50.00000","0.00041","0.26890","0.36781","90.00000","64.38360"," 677.64305","58.79721","0.29257"
"I(is_low_effort * days_between_v1_and_coinflip_local)","0.00023","0.00014","50.00000","0.00038","0.37984","0.61249","90.00000","54.61391"," 339.61739","47.04810","0.40462"
"High Effort Prompt vs Low Effort Prompt","0.01182","0.00524","50.00000","0.01717","0.31149","0.45241","90.00000","60.63337"," 505.02192","54.13400","0.33559"
"High Effort Prompt vs Low Effort Prompt x Day","0.00039","0.00019","50.00000","0.00058","0.32587","0.48340","90.00000","59.36651"," 461.41802","52.59906","0.35012"
