"","pbcom_est","pbcom_stderr"
"is_high_effort","0.600","0.680"
"is_low_effort","0.480","0.920"
"I(is_high_effort * days_between_v1_and_coinflip_local)","0.540","0.380"
"I(is_low_effort * days_between_v1_and_coinflip_local)","0.560","0.880"
"High Effort Prompt vs Low Effort Prompt","0.640","0.760"
"High Effort Prompt vs Low Effort Prompt x Day","0.360","0.520"
