"decision_point","ppc_est"
7,0.7
8,0.2
9,0.88
10,0.52
11,0.7
12,0.44
13,0.88
14,0.78
15,0.32
16,0.86
17,0.6
18,0.94
19,0.7
20,0.46
21,0.84
22,0.4
23,0.64
24,0.54
25,0.64
26,0.5
27,0.64
28,0.68
29,0.8
30,0.42
31,0.66
32,0.56
33,0.3
34,0.64
35,0.58
36,0.62
37,0.64
38,0.84
39,0.86
40,0.66
41,0.42
42,0.22
43,0.44
44,0.52
45,0.3
46,0.5
47,0.22
48,0.68
49,0.7
50,0.78
51,0.58
52,0.64
53,0.44
54,0.7
