"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.44914","0.11642"," 1.22097","1.67731"," 1.25765","1.64063","0.00000"
"days_between_v1_and_coinflip_local"," 0.03236","0.00895"," 0.01482","0.04990"," 0.01764","0.04708","0.00030"
"self_efficacy_cig_lag1"," 0.45642","0.03318"," 0.39139","0.52145"," 0.40185","0.51100","0.00000"
"any_response_2qs","-0.02264","0.05344","-0.12737","0.08210","-0.11054","0.06526","0.67187"
