"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.615","0.199"," 1.225","2.004"," 1.288","1.942","0.000"
"days_between_v1_and_coinflip_local"," 0.031","0.009"," 0.013","0.048"," 0.016","0.045","0.001"
"self_efficacy_cig_lag1"," 0.417","0.058"," 0.304","0.530"," 0.322","0.512","0.000"
"any_response_2qs","-0.346","0.225","-0.787","0.096","-0.716","0.025","0.125"
"I(self_efficacy_cig_lag1 * any_response_2qs)"," 0.104","0.068","-0.030","0.238","-0.008","0.217","0.127"
"is_high_effort"," 0.042","0.262","-0.473","0.556","-0.390","0.473","0.874"
