"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.491","0.124"," 1.248","1.735"," 1.287","1.695","0.000"
"days_between_v1_and_coinflip_local"," 0.032","0.009"," 0.015","0.050"," 0.018","0.047","0.000"
"self_efficacy_cig_lag1"," 0.457","0.033"," 0.392","0.522"," 0.402","0.511","0.000"
"any_response_2qs","-0.040","0.067","-0.171","0.092","-0.150","0.070","0.552"
