"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","1.378","0.109","1.163","1.592","1.198","1.558","0.000"
"days_between_v1_and_coinflip_local","0.033","0.011","0.011","0.054","0.015","0.050","0.003"
"self_efficacy_cig_lag1","0.487","0.030","0.429","0.546","0.438","0.537","0.000"
