"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","1.352","0.110","1.136","1.567","1.171","1.532","0.000"
"days_between_v1_and_coinflip_local","0.031","0.008","0.016","0.047","0.018","0.045","0.000"
"self_efficacy_cig_lag1","0.498","0.032","0.435","0.561","0.445","0.550","0.000"
