"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","1.332","0.117","1.103","1.561","1.140","1.524","0.000"
"days_between_v1_and_coinflip_local","0.034","0.008","0.018","0.050","0.021","0.047","0.000"
"self_efficacy_cig_lag1","0.500","0.034","0.434","0.567","0.444","0.556","0.000"
