"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","1.32025","0.10709","1.11036","1.53014","1.14410","1.49640","0e+00"
"days_between_v1_and_coinflip_local","0.03154","0.00805","0.01576","0.04732","0.01829","0.04478","9e-05"
"self_efficacy_cig_lag1","0.49774","0.03199","0.43504","0.56044","0.44512","0.55036","0e+00"
