"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"is_high_effort","-0.131","0.096","-0.319","0.057","-0.288","0.027","0.173"
"is_low_effort","-0.039","0.094","-0.222","0.145","-0.193","0.116","0.681"
"I(is_high_effort * any_response_2qs)"," 0.080","0.113","-0.142","0.302","-0.106","0.267","0.480"
"I(is_low_effort * any_response_2qs)","-0.012","0.108","-0.223","0.200","-0.189","0.166","0.915"
"High Effort Prompt vs Low Effort Prompt","-0.092","0.110","-0.307","0.123","-0.272","0.088","0.401"
"High Effort Prompt vs Low Effort Prompt x Any Response to Two-Question Survey"," 0.092","0.131","-0.166","0.349","-0.124","0.307","0.485"
