"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.33393","0.10547"," 1.12722"," 1.54064"," 1.16045"," 1.50741","0.00000"
"days_between_v1_and_coinflip_local"," 0.03527","0.00843"," 0.01874"," 0.05180"," 0.02140"," 0.04914","0.00003"
"motivation_cig_lag1"," 0.51181","0.03073"," 0.45157"," 0.57204"," 0.46125"," 0.56236","0.00000"
"Y_lag1"," 0.07123","0.05363","-0.03387"," 0.17634","-0.01697"," 0.15944","0.18406"
"cigarette_counts_lag1","-0.04997","0.02268","-0.09442","-0.00552","-0.08728","-0.01267","0.02757"
