"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.13046","0.12556"," 0.88437"," 1.37656"," 0.92393"," 1.33699","0.00000"
"days_between_v1_and_coinflip_local"," 0.14273","0.03623"," 0.07172"," 0.21374"," 0.08314"," 0.20233","0.00008"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.01070","0.00337","-0.01729","-0.00410","-0.01623","-0.00516","0.00148"
"self_efficacy_cig_lag1"," 0.48430","0.02984"," 0.42582"," 0.54277"," 0.43522"," 0.53337","0.00000"
