"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","1.31954","0.10722","1.10939","1.52968","1.14318","1.49589","0e+00"
"days_between_v1_and_coinflip_local","0.03141","0.00806","0.01562","0.04720","0.01816","0.04467","1e-04"
"self_efficacy_cig_lag1","0.49815","0.03200","0.43544","0.56086","0.44552","0.55078","0e+00"
