"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"Treatment (Prompt = 1, No Prompt = 0)","0.00335","0.00259","50.00000","0.00599","0.44069","0.78792","95.00000","52.04992","252.30538","43.14850","0.46493"
"Treatment x Any Response to Two-Question Survey","0.00456","0.00334","50.00000","0.00797","0.42720","0.74581","95.00000","53.30533","268.49154","44.47536","0.45133"
"Any Response to Two-Question Survey: 0","0.00335","0.00259","50.00000","0.00599","0.44069","0.78792","95.00000","52.04992","252.30538","43.14850","0.46493"
"Any Response to Two-Question Survey: 1","0.00149","0.00078","50.00000","0.00228","0.34643","0.53005","95.00000","60.82225","408.29231","52.93645","0.36980"
