"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.1317681033","0.1672272106"," 0.8040087932"," 1.4595274133"," 0.8567038194"," 1.4068323872","0.0000000000"
"days_between_v1_and_coinflip_local"," 0.2118292598","0.0627559191"," 0.0888299187"," 0.3348286010"," 0.1086049588"," 0.3150535609","0.0007369597"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.0182083122","0.0061843663","-0.0303294473","-0.0060871771","-0.0283806895","-0.0080359349","0.0032373975"
"self_efficacy_cig_lag1"," 0.4534988966","0.0332394552"," 0.3883507615"," 0.5186470317"," 0.3988248582"," 0.5081729351","0.0000000000"
