"self_efficacy_cig_lag1","n","Qbar","pooled_stderr","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
0,43,2.279,0.337,1.725,2.833,0.083,0.03,50,0.113,0.268,0.365,42,29.398,684.765,28.187,0.314
1,92,1.944,0.169,1.666,2.221,0.017,0.012,50,0.028,0.419,0.722,91,51.715,278.642,43.619,0.444
2,258,2.368,0.097,2.209,2.527,0.006,0.003,50,0.009,0.364,0.572,257,162.204,369.893,112.758,0.375
3,202,2.83,0.094,2.676,2.985,0.006,0.002,50,0.009,0.273,0.376,201,144.683,657.179,118.577,0.285
4,417,3.479,0.068,3.366,3.591,0.003,0.001,50,0.005,0.293,0.415,416,292.58,569.568,193.29,0.301
