"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)"," 1.00488","0.19157"," 0.62940"," 1.38036"," 0.68976"," 1.31999","0.00000"
"days_between_v1_and_coinflip_local"," 0.24009","0.11241"," 0.01976"," 0.46042"," 0.05519"," 0.42500","0.03270"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.03146","0.02404","-0.07857"," 0.01566","-0.07100"," 0.00808","0.19066"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.00133","0.00157","-0.00174"," 0.00441","-0.00125"," 0.00391","0.39570"
"motivation_cig_lag1"," 0.50684","0.03068"," 0.44671"," 0.56698"," 0.45638"," 0.55731","0.00000"
"Y_lag1"," 0.06939","0.05342","-0.03530"," 0.17409","-0.01847"," 0.15726","0.19392"
"cigarette_counts_lag1","-0.04567","0.02261","-0.08998","-0.00135","-0.08286","-0.00847","0.04343"
