"decision_point","n","Qbar","pooled_stderr","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
0,0,1.715,0.37,1.107,2.324,0.101,0.035,50,0.137,0.26,0.351,-1,0,726.515,0,0.753
1,6,1.937,0.181,1.638,2.235,0.024,0.009,50,0.033,0.284,0.396,5,2.685,608.012,2.674,0.536
2,14,2.353,0.1,2.188,2.517,0.007,0.003,50,0.01,0.311,0.451,13,7.839,507.096,7.72,0.439
3,19,2.874,0.098,2.713,3.035,0.006,0.004,50,0.01,0.377,0.606,18,10.139,344.024,9.849,0.474
4,23,3.509,0.067,3.4,3.619,0.003,0.001,50,0.004,0.311,0.45,22,13.955,508.172,13.582,0.394
